actividad,prestatario,vacantes,nombre_largo,nombre_del_programa,fecha_inicio,fecha_termino,objetivo,justificación,domicilio,representante,medios_de_contacto_con_el_representante,apoyos
APOYO A LAS ACTIVIDADES QUE SE LLEVAN A CABO EN EL MUSEO DEL AGUA,OAPAS-NAUCALPAN (241800601),15,"ORGANISMO DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE NAUCALPAN",ANALISIS DE PRECIOS UNITARIOS Y GENERADORES DE OBRA (09206H3860),2022-05-01,2023-04-30,ENGLOBAR UN CONJUNTO DE ACCIONES ENCAMINADAS AL DESARROLLO DE PROYECTOS QUE PROPICIEN EN LA POBLACIÓN EL CUIDADO Y MANEJO EFICIENTE DEL AGUA PROCURANDO LA CONSERVACIÓN DEL VITAL LIQUIDO PARA OTORGAR UN SERVICIO CON CALIDAD.,"EL PRESTADOR APLICARÁ SUS CONOCIMIENTOS EN EL CONJUNTO DE PROCEDIMIENTOS QUE SE LLEVAN ACABO PARA EL TRATAMIENTO DE AGUAS RESIDUALES Y SANEAMIENTO DE REDES DE DRENAJE Y ALCANTARILLADO, MANTENIENDO EN CONDICIONES ADECUADAS LA INFRAESTRUCTURA PARA PROPORCIONAR UNA MEJOR CALIDAD DE VIDA A LA POBLACIÓN","Calle: SAN LUIS TLATILCO, Núm. exterior: 19, Núm. interior: S/N, Colonia: PARQUE INDUSTRIAL NAUCALPAN, Delegación o Municipio: NAUCALPAN",OSCAR ZAMUDIO RAMÍREZ,"e-mail: marisolluna@oapas-naucalpan.gob.mx, Tel: (55)53711900 ext 2951, Fax:","ASESORÍA, CAPACITACIÓN,"
INFORMÁTICA,SEGOB (240100000),19,SECRETARIA DE GOBERNACION,INFORMÁTICA (22000v0519),2022-05-01,2023-05-01,"OPTIMIZAR LOS SISTEMAS CON LOS QUE CUENTA LA SECRETARIA DE GOBERNACIÓN, MEDIANTE LA PLANEACION Y DESARROLLO DE SISTEMAS DE INFORMACION","LOS ALUMNOS SE VINCULAN CON ACTIVIDADES CORRESPONDIENTES A SU AREA DE INTERES Y PERFIL, PARA LOGRAR UNA EFICIENTE RETROALIMENTACION EN LOS PROCESOS DE TRABAJO QUE SE LLEVAN ACABO EN LAS UNIDADES ADMINISTARTIVAS Y ORGANOS DESCONCENTRADOS","Calle: RÍO AMAZONAS, Núm. exterior: NO. 91, Núm. interior: PISO 1, Colonia: COL. CUAUHTÉMOC DELG. CUAUHTÉMOC, MEXICO, D.F, Delegación o Municipio: CUAUHTÉMOC",RAÚL ANTONIO G.ARCE HERNÁNDEZ,"e-mail: rarce@segob.gob.mx, Tel: 51280000 Ext. 16167 y 16082, Fax:","ASESORÍA, BIBLIOGRAFÍA, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
APOYO A LAS DIFERENTES ÁREAS DE M.O.M.,CECYT NO. 6 (100100700),393,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS NO. 6 ""MIGUEL OTHON DE MENDIZABAL""",SERVICIO SOCIAL PARA ALUMNOS EXTERNOS DEL CECYT 06 A DISTANCIA (05008a8306),2021-10-16,2022-10-15,"Consolidar la información profesional, fomentando en el estudiante una conciencia de solidaridad con la comunidad, sociedad y país","Consolidar su formación a través de la aplicación de conocimientos, así como, involucrarse con la realidad y desarrollar propuestas de solución a problemáticas y necesidades","Calle: AV. JARDÍN Y CALLE 4, Núm. exterior: S/N, Núm. interior: S/N, Colonia: AMPLIACIÓN DEL GAS, Delegación o Municipio: AZCAPOTZALCO",HANER RUBEN RUBIO IBARRA,"e-mail: apoyoedu6@ipn.mx, Tel: 57296000 ext:66095, Fax:","CAPACITACIÓN, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO EN DISEÑO DE MATERIALES INFORMATIVOS Y AUDIOVISUALES A DISTANCIA,CECYT NO. 9 (100101000),-9,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS NO. 9 ""JUAN DE DIOS BATIZ PAREDES""",PROGRAMA DE SERVICIO SOCIAL DE ALUMNOS EXTERNOS EN APOYO AL CECYT 9 JUAN DE DIOS BATIZ (20210a2192),2022-02-16,2023-02-15,DAR COBERTURA Y CABIDA A LOS ALUMNOS DE OTRAS ESCUELAS CON CONVENIO QUE SON EXTERNOS Y QUE DESEENA REALIZAR SU SERVICIO SOCIAL ASI COMO A LOS ALUMNOS Y PASANTES DEL IPN QUE NO SEAN DE ESTE CECYT 9 JUAN DE DIOS BATIZ.,APOYO EN TODAS LAS AREAS QUE SE REQUIERAN DE TODAS LAS CARRERAS POSIBLES PARA SERVICIO EN ESTE CECYT 9 JUAN DE DIOS BATIZ,"Calle: MAR MEDITERRANEO, Núm. exterior: 227, Núm. interior: S/N, Colonia: POPOTLA, Delegación o Municipio: MIGUEL HIDALGO",NATISMA JULIETA LÓPEZ SALAS,"e-mail: japerezes@ipn.mx, Tel: 57296000 ext. 63827, Fax:","ASESORÍA, BIBLIOGRAFÍA,"
APOYO EN EL DESARROLLO DE PLATAFORMA BASADA EN R A DISTANCIA.,CIBA TLAXCALA (100214406),-2,CENTRO DE INVESTIGACIÓN EN BIOTECNOLOGÍA APLICADA UNIDAD TLAXCALA,DESARROLLO DE PLATAFORMA PARA ESTUDIO DE MICROBIOMA EXTREMOFILO A DISTANCIA. (05711a8665),2022-07-01,2023-06-30,"Desarrollo de plataforma de computo para análisis de datos, manejo de información genética.",Se necesita implementación de plataforma informática por un estudiante de computo.,"Calle: CARRETERA ESTATAL TECUEXCOMAC-TEPETITLA, Núm. exterior: KM. 1.5, Núm. interior: S/N, Colonia: TEPETITLA DE LARDIZABAL, Delegación o Municipio: TEPETITLA DE LARDIZABAL",ANGELICA DEL CARMEN RUIZ FONT,"e-mail: vinculacionciba@ipn.mx, Tel: 2224598562, Fax:","BECA ECONÓMICA, Monto del Apoyo $ , CAPACITACIÓN, DIRECCIÓN DE TESIS, OPCIÓN A TESIS, PAPELERÍA,"
APOYO A DIFERENTES ACTIVIDADES AL CECYT 15 MODALIDAD A DISTANCIA,CECYT NO. 15 (100101600),975,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS NO. 15 ""DIODORO ANTUNEZ ECHEGARAY""",APOYO EXTERNO A LAS ACTIVIDADES ACADÉMICO-ADMINISTRATIVAS DEL CECYT 15 (02130a1871),2022-03-01,2023-02-28,CUBRIR LAS NECESIDADES DE DE LAS DIFERENTES ÁREAS Y DEPARTAMENTOS DEL CECYT 15 CON LA COLABORACIÓN DE ALUMNOS DE SERVICIO SOCIAL DE DIFERENTES ESCUELAS,"DEBIDO A QUE EL RECURSO HUMANO ES INSUFICIENTE EN LAS DIFERENTES ÁREAS DE NUESTRO PLANTEL, ES NECESARIO CONTAR CON LA COLABORACIÓN DE ALUMNOS PRESTADORES DE SERVICIO SOCIAL.","Calle: GASTON MELO, Núm. exterior: 41, Núm. interior: S/N, Colonia: SAN ANTONIO TECOMITL, Delegación o Municipio: MILPA ALTA",EDITH ALEJANDRA VAZQUEZ JARDINES,"e-mail: aibarram@ipn.mx, Tel: 56242000 ext. 72505, Fax:","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
"DISEÑAR SISTEMAS DE PROCESAMIENTO DE INFORMACIÓN, QUE PERMITAN DESARROLLAR LA AUTOMATIZACIÓN",SEDECO (220000110),12,"SECRETARIA DE DESARROLLO ECONOMICO, GOBIERNO DE LA CIUDAD DE MÉXICO","SEDECO-PLANEACIÓN DE LAS ACTIVIDADES DE ABASTO, COMERCIO Y REGULACIÓN DEL FOMENTO ECONOMICO (08019b3096)",2022-06-16,2023-06-15,"Contribuir permanentemente en el crecimiento de la economía, a través de las distintas actividades en los canales de abasto, mejora regulatoria y servicios inmobiliarios de la Ciudad de México, así como en el desarrollo de emprendedores para la apertura de pequeñas y medianas empresas.","LOS PERFILES QUE SE REQUIEREN SON CON LA FINALIDAD DE QUE LOS ALUMNOS APLIQUEN SUS CONOCIMIENTOS, HABILIDADES, APTITUDES EN BENEFICIO DE LAS ACCIONES INSTITUCIONAL","Calle: AV. CUAUHTÉMOC, Núm. exterior: 898, Núm. interior: 1ER PISO, Colonia: NARVARTE, Delegación o Municipio: NARVARTE",MARTHA GASSALLE MUNZURI BENITEZ,"e-mail: martha.munzuri@sedeco.cdmx.gob.mx, Tel: 56822096 ext. 307, Fax:","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
INGENIERO EN SISTEMAS COMPUTACIONALES,TSA (230000800),4,TRIBUNAL SUPERIOR AGRARIO,IMPARTICIÓN DE JUSTICIA AGRARIA (16011h3812),2022-03-01,2023-02-28,CONTRIBUIR CON ACCIONES COORDINADAS EN LA TAREA DE PROFESIONALIZACIÓN Y DIFUSIÓN EN MATERIA DE JUSTICIA AGRARIA-AMBIENTAL Y DE APOYO A LAS ÁREAS ADMINISTRATIVAS DEL TRIBUNAL SUPERIOR AGRARIO.,"QUE LA JUSTICIA AGRARIA SEA RÁPIDA Y EXPEDITA, PARA DAR CERTIDUMBRE JURÍDICA AL CAMPO E IMPULSO AL DESARROLLO AGRARIO, BASADO EN EL PRINCIPIO DE UN DESARROLLO SUSTENTABLE.","Calle: DINAMARCA, Núm. exterior: 84, Núm. interior: PISO 3, Colonia: JUÁREZ, Delegación o Municipio: CUAUHTÉMOC",FERNANDO MUÑOZ VILLARREAL,"e-mail: ssypp@tribunalesagrarios.gob.mx, Tel: 52 08 68 00 EXT. 1720 Y 1727, Fax:","ASESORÍA, CAPACITACIÓN,"
APOYO Y ASISTENCIA A LAS ACTIVIDADES DE LOS DIFERENTES DEPARTAMENTOS DE LA UNIDAD,D.S.E.T.T (100206103),4,DIRECCION DE SERVICIOS EMPRESARIALES Y TRANSFERENCIA TECNOLOGICA.,PARA EL DESARROLLO Y LA COMPETITIVIDAD EMPRESARIAL ( A DISTANCIA). (05067a8320),2021-11-01,2022-10-31,"Aplicación de conocimientos adquiridos en el aula en las actividades de atención y formación empresarial, así como la gestión y desarrollo de proyectos y servicios tecnológicos y de la calidad.","Los alumnos aportan conocimientos frescos y proponen nuevos medios de comunicación para el desarrollo y atención de proyectos, mismos que pueden ser benéficos en las diferentes áreas de aplicación institucional y sector productivo.","Calle: AV. WILFRIDO MASSIEU, Núm. exterior: S/N, Núm. interior: S/N, Colonia: LINDAVISTA, Delegación o Municipio: ALCALDÍA GUSTAVO A. MADERO",SALVADOR BUENDIA SOLIS,"e-mail: ssdsett@ipn.mx, Tel: 57296000 ext. 57030, Fax: 57296000","ASESORÍA, CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO, PAPELERÍA,"
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS Y REDES,TSJCDMX (230001600),10,TRIBUNAL SUPERIOR DE JUSTICIA DE LA CIUDAD DE MÉXICO,SERVICIO SOCIAL MULTIDISCIPLINARIO EN APORTACIÓN A LA ADMINISTRACIÓN DE JUSTICIA (10016h2271),2022-07-16,2023-07-15,"Apoyar en las actividades sustantivas del Tribunal, que coadyuven en el cumplimiento de las metas operativas",El papel de prestador de servicio social cobra mayor importancia debido a que el apoyo que brindan contribuye de manera importante en la agilización de los servicios.,"Calle: NIÑOS HÉROES, Núm. exterior: 150, Núm. interior: PISO 4 ALA SUR, Colonia: DOCTORES, Delegación o Municipio: CUAUHTÉMOC",JUAN REYES DELGADO,"e-mail: serviciosocial.iej@tsjdf.gob.mx, Tel: 91564997 ext 112730, Fax:","BECA ECONÓMICA, Monto del Apoyo $ , MATERIAL Y EQUIPO, PAPELERÍA,"
"APOYAR EN MATERIA TÉCNICA DE SOFTWARE, TALES COMO OFFICE WINDOWS Y LINUX (OPEN OFFICE)",SEDUVI (220000111),15,SECRETARIA DE DESARROLLO URBANO Y VIVIENDA,"PLANEACIÓN, ORDENAMIENTO Y POLÍTICAS DE REGULACIÓN DEL DESARROLLO URBANO (05124b3749)",2022-06-16,2023-06-15,"REGULAR LA PLANEACIÓN, ORDENAMIENTO Y POLÍTICAS DE DESARROLLO URBANO PARA PROVEER A LA COMUNIDAD LOS SERVICIOS PÚBLICOS.","ESTABLECER JUNTO CON LOS PRESTADORES DE SERVICIO SOCIAL, LAS BASES PARA EL DESARROLLO Y EQUIPAMENTO URBANO, ASÍ COMO LA PLANEAR LA PROPUESTA DE IMAGEN DE DESARROLLO URBANO EN DIVEROS PUNTOS DE LA CIUDAD","Calle: AV. INSURGENTES SUR, Núm. exterior: 235, Núm. interior: 10 PISO, Colonia: ROMA NORTE, Delegación o Municipio: CUAHUTEMOC",JESSICA LIZBETH LEYTE OROZCO,"e-mail: servicio.social@seduvi.cdmx.gob.mx, Tel: 51-30-21-00 ext. 2257, Fax:","ASESORÍA, CAPACITACIÓN, MATERIAL Y EQUIPO,"
APOYO EN CERTIFICACIÓN DE PROYECTOS A DISTANCIA,P&JC SYSTEM SC (400120671),7,P&JC SYSTEM SC,AUXILIAR DE CERTIFICACIÓN A DISTANCIA (05771l8606),2022-03-01,2023-02-28,"Orientar la participación de los universitarios en el sector social y productivo a través del servicio social permitiendo la aplicación de conocimientos humanísticos y tecnológicos, con los cuales les permitirá a los estudiantes y pasantes poner en práctica los conocimientos que han adquirido y que implican un beneficio para la comunidad, ya que el objetivo primordial del servicio social es el de desarrollar una conciencia solidaria y de trabajo en equipo en el entorno laboral.","La razón de prestar el servicio social en el sector privado (bajo convenio), como forma de elevar el nivel académico y preparación de los alumnos, incrementando la base humana y tecnológica, así como para aprovechar la infraestructura que dispone este sector para participar conjuntamente en la solución de problemas reales del sector productivo, empresarial y de la sociedad.","Calle: EUCALITPO, Núm. exterior: 36, Núm. interior: S/N, Colonia: SANTA MARIA LA RIBERA, Delegación o Municipio: CUAUHTEMOC",SAMUEL PACHECO ESPINOSA,"e-mail: pacheco.samuel@pyjcsystem.com.mx, Tel: 5519258381, Fax:","ASESORÍA, BECA ECONÓMICA, Monto del Apoyo $ , CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
APOYO EN LA ORGANIZACION Y ACTUALIZACIÓN DE BASES DE DATOS DE DONADORES Y PROMOTORES.,COFAA (100200200),50,COMISION DE OPERACION Y FOMENTO DE ACTIVIDADES ACADEMICAS,PROYECTO DE REZAGO EDUCATIVO (02002a5342),2022-03-16,2023-03-15,CAPACITAR A ESTUDIANTES COMO ASESORES DEL INEA,CONTAR CON EL APOYO DE ESTUDIANTES PARA BRINDAR ASESORÍAS Y ERRADICAR EL REZAGO EDUCATIVO,"Calle: TRESGUERRAS, Núm. exterior: 27, Núm. interior: S/N, Colonia: CENTRO, Delegación o Municipio: CUAUHTEMOC",JORGE ALBERTO VERDURA ZAMORANO,"e-mail: gperez@cofaa.ipn.mx, Tel: 57 29 63 00 EXT.65063, Fax:","BECA ECONÓMICA, Monto del Apoyo $ ,"
"ANALIS DE SITUACIONES, ENTORNOS Y PROBLEMAS PROPIOS DE SER TRATADOS MEDIANTE SISTEMAS COMPUTACIONES.",ESIA TECAMACHALCO (100105500),981,"ESCUELA SUPERIOR DE INGENIERIA Y ARQUITECTURA, UNIDAD TECAMACHALCO",SERVICIO SOCIAL PARA ALUMNOS EXTERNOS A DISTANCIA (05250a8314),2021-11-01,2022-10-31,"Fomentar la participación de los alumnos en la solución de problemas prioritarios de las unidades académicas, donde realice su servicio social de acuerdo a su perfil de ingeniero arquitecto, realizándolo en una forma integral , académica y profesional.","El alumno tendrá en este nuevo modelo virtual los beneficios de conocer una nueva forma de presentar el servicio social, para ampliar sus conocimientos tecnológicos, ante esta problemática internacional.","Calle: FUENTE DE LOS LEONES, Núm. exterior: 28, Núm. interior: S/N, Colonia: TECAMACHALCO, Delegación o Municipio: NAUCALPAN DE JUAREZ",JESUS CARLOS HERNANDEZ CRUZ,"e-mail: jchernandezcr@ipn.mx, Tel: 5557206000 ext 68045. 68051, Fax:","ASESORÍA,"
DESARROLLO DE SITIOS WEB A ( DISTANCIA ),D.E.V. (100203201),6,DIRECCIÓN DE EDUCACIÓN VIRTUAL,SERVICIOS DE APOYO CON LAS TECNOLOGÍAS EDUCATIVAS A LA COMUNIDAD POLITÉCNICA (20680a2691),2022-09-01,2023-08-31,"CONTRIBUIR A LA AMPLIACIÓN, DIVERSIFICACIÓN E INNOVACIÓN DE LA OFERTA EDUCATIVA, DE INVESTIGACIÓN Y EXTENSIÓN DEL INSTITUTO, APOYADOS EN LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES","CONTAR CON RECURSOS HUMANOS CALIFICADOS, PROACTIVOS Y COMPROMETIDOS CON LOS OBJETIVOS DE LA UNIDAD Y DEL INSTITUTO, FORMANDO HABILIDADES BÁSICAS PARA SU DESARROLLO PROFESIONAL","Calle: AV. WILFRIDO MASSIEU ESQ. LUIS ENRIQUE ERRO, Núm. exterior: XX, Núm. interior: XX, Colonia: U.P. ADOLFO LÓPEZ MATEOS, Delegación o Municipio: ALCALDÍA GUSTAVO A. MADERO",MARIO ALBERTO CAMACHO SIERRA,"e-mail: mdiazt@ipn.mx, Tel: 59-29-60-00 ext. 57414, Fax: 57-29-60-00 ext 57400","BIBLIOGRAFÍA, CAPACITACIÓN, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO EN LA EJECUCIÓN EN LOS PROGRAMAS Y CONTROLES DE CALIDAD DE LOS TRABAJOS DE MANT. EN GENERAL,DRMYS (100206200),26,DIRECCION DE RECURSOS MATERIALES Y SERVICIOS,PLANTA DE PRODUCCIÓN DE COMPOSTA Y VIVERO DEL IPN A DISTANCIA (05542a8513),2022-03-01,2023-02-28,"Desarrollará actividades técnico-operativas-administrativas, relacionadas con el manejo y tratamiento de residuos, mantenimiento de áreas verdes y recuperación de suelos erosionados con base a conocimiento científico y experiencia práctica con la finalidad de combatir y mitigar el cambio climático.","La situación actual que se vive a nivel nacional e internacional en temas ambientales, la educación 4.0, exige la formación de profesionistas con una visión práctica-operativa basada en conocimiento científico, que permitaen un contexto multidisciplinario combatir y mitigar el cambio climático.","Calle: MARIALUISA STAMPA, Núm. exterior: S/N, Núm. interior: S/N, Colonia: ZACATENCO, Delegación o Municipio: G.A.M",JUDITH LÓPEZ JARDINEZ,"e-mail: jlopezjz@ipn.mx, Tel: 57296000 Ext: 55179, Fax:","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, CURSOS, DIRECCIÓN DE TESIS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
DESARROLLO DE BASES DE DATOS Y SISTEMAS COMPUTACIONALES,CIECAS (100204000),10,"CENTRO DE INVESTIGACIONES ECONOMICAS, ADMINISTRATIVAS Y SOCIALES",MEDIO AMBIENTE Y SUSTENTABILIDAD A DISTANCIA (14490a6979),2021-12-01,2022-11-30,Fortalecer la formación en el ámbito de la sustentabilidad de los prestadores de servicio social de diversas disciplinas para contribuir con mediciones e identificación de alternativas a problemáticas específicas abordadas en los proyectos de investigación.,"Los proyectos están orientados al desarrollo local sustentable y sus aspectos críticos como son: sobrecalentamiento global, estrés hídrico, agricultura orgánica, proyectos productivos sustentables. En el ámbito de la educación superior tanto en temas de formación, gestión y diseño curricular.","Calle: LAURO AGUIRRE, Núm. exterior: 120, Núm. interior: S/N, Colonia: AGRICULTURA, Delegación o Municipio: MIGUEL HIDALGO",MARA ROSAS BAÑOS,"e-mail: dseciecas@ipn.mx, Tel: 57296000 Ext. 63135, Fax:","CAPACITACIÓN, PAPELERÍA,"
APOYO A LAS ACTIVIDADES ADMINISTRATIVAS DE LA SECRETARIA DE TURISMO A DISTANCIA,SECTUR (240700000),20,SECRETARIA DE TURISMO,EJERCICIO DE SERVICIO SOCIAL - A DISTANCIA (05000n8797),2021-10-16,2022-10-15,POR MOTIVOS DE LA PANDEMIA LOS PRESTADORES DE SS REAZLIZARAN SU SERVICIO SOCIAL A DISTANCIA,POR MOTIVOS DE LA PANDEMIA LOS PRESTADORES DE SS REAZLIZARAN SU SERVICIO SOCIAL A DISTANCIA,"Calle: AV. VIADUCTO MIGUEL ALEMAN, Núm. exterior: 81, Núm. interior: 2°, Colonia: ESCANDON, Delegación o Municipio: MIGUEL HIDALGO",MARIA GUADALUPE ANGÉLICA MONTALVO RODRÍGUEZ,"e-mail: jngamboa@sectur.gob.mx, Tel: 30031600 ext: 5292, Fax:","ASESORÍA, CAPACITACIÓN,"
"MANTENIMIENTO CORRECTIVO, CONFIGURACIONES EN SISTEMAS, E INSTALACIONES DE SOFWARE Y HARDWARE.",SMA DEL GFD (220001900),10,SECRETARIA DEL MEDIO AMBIENTE DEL GOBIERNO DE LA CIUDAD DE MÉXICO,SISTEMA METROPOLITANO DE INFORMACIÓN DE LA CALIDAD DEL AIRE Y ATENCIÓN A CONTINGENCIAS (02020b0673),2022-05-01,2023-04-30,"Mejorar la administración de los recursos naturales, incrementar el cuidado y reforestación de los bosques, y sobre todo promover la participación de los sectores públicos, privados y sociales para elevar la calidad del medio.","Mejorar la administración de los recursos naturales, incrementar el cuidado y reforestación de los bosques, y sobre todo promover la participación de los sectores públicos, privados y sociales para elevar la calidad del medio.","Calle: PLAZA DE LA CONSTITUCIÓN, Núm. exterior: 1, Núm. interior: 3º PISO, Colonia: CENTRO, Delegación o Municipio: CUAUHTÉMOC",FRANCIS ZAITH JIMÉNEZ SÁNCHEZ,"e-mail: servicio.social@sedema.cdmx.gob.mx, Tel: 5553458000 ext. 1275, Fax:","MATERIAL Y EQUIPO, PAPELERÍA,"
ALIMENTAR EL SISTEMA INTEGRAL DE SEGUIMIENTO Y EVALUACIÓN DE PROCEDIMIENTOS,SHCP (240800000),30,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SISTEMAS INFORMÁTICOS (08000g0431),2022-06-16,2023-06-15,"Sistematizar la información, construir base de datos, brindar soporte técnico a los usuarios y aplicar la evolución tecnologíca informática",Dar cumplimiento al objetivo del programa y apoyar en la información profesional del prestador,"Calle: CALZADA DE LA VIRGEN, Núm. exterior: 2799, Núm. interior: s/n, Colonia: CTM CULHUACAN, Delegación o Municipio: COYOACAN",LUIS SALAS JUAREZ,"e-mail: eugenia_patino@hacienda.gob.mx, Tel: 3688 5382, Fax:","CAPACITACIÓN, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO A LA ADMINISTRACIÓN PÚBLICA DE LA SEMARNAT,SEMARNAT (241800000),93,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,PROGRAMA INSTITUCIONAL DE SERVICIO SOCIAL EN LA SEMARNAT (05080s9024),2022-06-01,2023-05-31,"Impulsar la participación de estudiantes de educación superior en el desarrollo de acciones y tareas que, desde diversas esferas del conocimiento, contribuyan al fortalecimiento de la gestión pública para la protección del medio ambiente y la conservación de la biodiversidad.","Incorporar a estudiantes con la problemática ambiental a través de la aportación de sus conocimientos en las responsabilidades y proyectos de la Dependencia, contribuyendo al cumplimiento de objetivos específicos dentro de las áreas técnicas y de apoyo, en beneficio de la sociedad.","Calle: EJERCITO NACIONAL, Núm. exterior: 223, Núm. interior: PISO 9, Colonia: ANAHUAC, Delegación o Municipio: MIGUEL HIDALGO",J. PABLO J. SÓSOL MORGADO,"e-mail: josepablo.sosol@semarnat.gob.mx, Tel: (55)54 900 900 Ext. 14568, Fax:","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO A SERVICIOS DE DIGITALIZACIÓN DE LA UPN,UPN (241302715),5,UNIVERSIDAD PEDAGOGICA NACIONAL,APOYO INTERDISCIPLINARIO EN ÁREAS DE LA UNIVERSIDAD PEDAGÓGICA NACIONAL (20522c4807),2022-07-01,2023-06-30,APOYAR EN EL PROCESO Y DESARROLLO DE MATERIALES EDUCATIVOS E INFORMATIVOS EN DIVERSOS FORMATOS DIGITALES Y FÍSICOS DESARROLLANDO HABILIDADES CON LA INTENCIÓN DE PONERLOS A DISPOSICIÓN DE LA COMUNIDAD ACADÉMICA.,INTRODUCIR A LOS ESTUDIANTES EN EL CAMPO DE LA INVESTIGACIÓN Y LA INFORMÁTICA LO CUAL APORTARA A SU FORMACIÓN PROFESIONAL UN CONOCIMIENTO PROXIMAL.,"Calle: CARRETERA, Núm. exterior: 24, Núm. interior: 24, Colonia: HEROES DE PADIERNA, Delegación o Municipio: TLALPAN",DAVID FERNANDO BECIEZ GONZALEZ,"e-mail: lramirez@upn.mx, Tel: 5556309700 ext. 1204, Fax: 5532386300","ASESORÍA, CAPACITACIÓN,"
APOYAR A LAS DIVERSAS ACTIVIDADES DE LA UPIIH,UPIIH (100202113),30,UNIDAD PROFESIONAL INTERDISCIPLINARIA DE INGENIERÍA CAMPUS HIDALGO,PROGRAMA PARA ALUMNOS EXTERNOS (A DISTANCIA) (05634a8248),2022-08-01,2023-08-31,"PRESTAR EL SERVICIO SOCIAL EN UN ORGANISMO PUBLICO A DISTANCIA, ES UNA OPORTUNIDAD DE ACERCAR AL ALUMNO A CONOCER Y FAMILIARIZARSE CON LOS DIFERENTES TIPOS DE TRAMITES.",DESARROLLAR EN LOS PRESTADORES UNA CONCIENCIA DE COMPROMISO Y PARTICIPACION EN UN AMBIENTE LABORAL QUE LES PERMITA DESARROLLAR Y APLICAR LOS CONOCIMIENTOS Y HABILIDADES QUE HAN ADQUIRIDO DURANTE SU FORMACION ACADEMICA Y PERSONAL EN APOYO A LA SOCIEDAD Y EN LA EMPRESA,"Calle: CARRETERA PACHUCA-ACTOPAN KM 1+500, Núm. exterior: SN, Núm. interior: SN, Colonia: PACHUCA:CIUDAD DEL CONOCIMIENTO Y LA CULTURA, Delegación o Municipio: SAN AGUSTÍN TLAXIACA",GILBERTO ALEJANDRO GARCIA GUERRA,"e-mail: deae.upiih@ipn.mx, Tel: 5557296000 ext:83902, Fax: 5554648954","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO INTEGRAL A LA SECRETARÍA DE RELACIONES EXTERIORES,SRE (240900000),5,SECRETARIA DE RELACIONES EXTERIORES,"""APOYO INTEGRAL A LA SECRETARÍA DE RELACIONES EXTERIORES"" (08000o1612)",2022-04-01,2023-03-15,"Integrar a estudiantes en las diversas activiades que generan las unidades administrativas que conforman esta Secretaría, a través del ejercicio de sus conocimientos","La participación de los prestadores de servico social en las activiades de la Secretaría, permiten a ésta complementar el esfuerzo desplegado por su capital humano para el logro de sus objetivos.","Calle: PLAZA JUÁREZ, Núm. exterior: 20, Núm. interior: PISO 9, Colonia: CENTRO, Delegación o Municipio: CUAUHTÉMOC",MARIO ARTURO SAAVEDRA MORALES,"e-mail: gbarrerac@sre.gob.mx, Tel: 36865100 ext. 6985, Fax: 36865426","BECA ECONÓMICA, Monto del Apoyo $ ,"
APOYO ADMINISTRATIVO EN ÁREAS DE CIUDAD ADMINISTRATIVA ZACATEVAS,SA-ZACATECAS (240113031),99,SECRETARÍA DE ADMINISTRACIÓN-ZACATECAS,APOYO EN OFICINAS ADMINISTRATIVAS DEL GOBIERNO DEL ESTADO DE ZACATECAS (05042X7708),2022-06-16,2023-06-15,Apoyar el conocimiento de los estudiantes para el desarrollo de la comunidad a través del los mecanismos que ofrece gobierno,El trabajo permite el desarrollo de los estudiantes y beneficio de la comunidad y las necesidades que esta presenta.,"Calle: CIRCUITO CERRO DEL GATO, Núm. exterior: S/N, Núm. interior: S/N, Colonia: CD. ADMINISTRATIVA, Delegación o Municipio: ZACATECAS",ANA LAURA CASTRO GARCIA,"e-mail: ana.castro@sazacatecas.gob.mx, Tel: 4924915000, Fax:","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
